siteid,CBox,CBox_and_DVR,CBox_and_DVR_hourly,CBox_and_DVR_hourly_weekday,CBox_and_DVR_hourly_weekend,CBox_and_DVR_monthly,CBox_hourly,CBox_monthly,CPU,CPU_hourly,CPU_monthly,Comp,Comp_hourly,Comp_monthly,Cwash,Cwash_hourly,Cwash_hourly_weekday,Cwash_hourly_weekend,Cwash_monthly,DHW,DHW_g_hourly_weekday,DHW_g_hourly_weekend,DHW_g_monthly,DHW_hourly,DHW_hourly_weekday,DHW_hourly_weekend,DHW_monthly,DVD,DVD_hourly,DVD_hourly_weekday,DVD_hourly_weekend,DVD_monthly,Dryer,Dryer_hourly,Dryer_hourly_weekday,Dryer_hourly_weekend,Dryer_monthly,Dwash,Dwash_hourly,Dwash_hourly_weekday,Dwash_hourly_weekend,Dwash_monthly,Freezer,Freezer_hourly,Freezer_monthly,Game_cons,Game_cons_hourly,Game_cons_hourly_weekday,Game_cons_hourly_weekend,Game_cons_monthly,Oven,Oven_hourly,Oven_hourly_weekday,Oven_hourly_weekend,Oven_monthly,Refrig,Refrig_hourly,Refrig_monthly,Service,Service_daily_elec,Service_daily_gas,Service_hourly,Service_hourly_weekday,Service_hourly_weekday_elec,Service_hourly_weekday_gas,Service_hourly_weekend,Service_hourly_weekend_elec,Service_hourly_weekend_gas,Service_monthly,Service_monthly_elec,Service_monthly_gas,Stereo,Stereo_hourly,Stereo_hourly_weekday,Stereo_hourly_weekend,Stereo_monthly,TV,TV_hourly,TV_hourly_weekday,TV_hourly_weekend,TV_monthly
21799,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,3,3,3,3,3
21905,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,1,1,1,1,1
22138,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,1,1,1,1,2,2,2,2,2
22144,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,2,2,2,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,2,2,2,2,2
22177,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1
22222,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,2,2,2,2,2
22284,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,2,2,2,2,2
22514,0,1,1,1,1,1,0,0,0,0,0,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,3,3,3,3,3
22615,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,2,2,2,2,2
22699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,0,0,0,0,0
22822,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,2,2,2,2,2
22938,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,2,2,2,2,2
23028,1,0,0,0,0,0,1,1,0,0,0,2,2,2,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,2,2,2,2,2
23049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,1,1,1,1,1
23138,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,2,2,2,2,2
23178,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,1,1,1,1,1
23267,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,0,0,0,0,0
23384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,2,2,2,2,2
23618,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,1,1,1,1,1
23960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1
24203,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,2,2,2,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,1,1,1,1,1
24375,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,1,1,1,1,1
24378,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,2,2,2,2,2
24400,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,2,2,2,2,0
24495,1,0,0,0,0,0,1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,2,2,2,2,2
24684,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,0,0,0,0,0,3,3,3,3,3
24808,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,1,1,1,,1,1,,1,1,,1,0,0,0,0,0,1,1,1,1,1
Sum,23,12,12,12,12,12,23,22,48,48,46,55,55,55,99,99,99,99,99,49,33,33,33,49,49,49,49,27,27,27,27,24,97,97,97,97,97,58,58,58,58,58,48,48,48,40,40,40,40,40,68,68,68,68,68,126,126,122,103,45,58,103,103,45,58,103,45,58,103,45,58,9,9,9,9,8,151,151,151,151,148
